Entity,Day,Average surface temperature
Afghanistan,1/15/1975,6.659217
Afghanistan,2/15/1975,8.6351814
Afghanistan,3/15/1975,14.211617
Afghanistan,4/15/1975,20.910466
Afghanistan,5/15/1975,27.513979
Afghanistan,6/15/1975,32.030338
Afghanistan,7/15/1975,34.763592
Afghanistan,8/15/1975,33.354765
Afghanistan,9/15/1975,28.857243
Afghanistan,10/15/1975,21.800736
Afghanistan,11/15/1975,13.969301999999999
Afghanistan,12/15/1975,9.72141695
Afghanistan,1/15/1976,9.96358112
Afghanistan,2/15/1976,9.70390153
Afghanistan,3/15/1976,13.2205439
Afghanistan,4/15/1976,21.128206
Afghanistan,5/15/1976,28.49234
Afghanistan,6/15/1976,32.074871
Afghanistan,7/15/1976,35.73786
Afghanistan,8/15/1976,33.716300000000004
Afghanistan,9/15/1976,29.471865
Afghanistan,10/15/1976,23.104742
Afghanistan,11/15/1976,13.7339375
Afghanistan,12/15/1976,9.4895394
Afghanistan,1/15/1977,5.767911
Afghanistan,2/15/1977,9.59861642
Afghanistan,3/15/1977,19.339319
Afghanistan,4/15/1977,23.770243999999998
Afghanistan,5/15/1977,28.29821
Afghanistan,6/15/1977,34.122626999999994
Afghanistan,7/15/1977,35.757236
Afghanistan,8/15/1977,33.611492
Afghanistan,9/15/1977,28.467417
Afghanistan,10/15/1977,24.329378
Afghanistan,11/15/1977,17.2252626
Afghanistan,12/15/1977,12.159733
Afghanistan,1/15/1978,7.0343668
Afghanistan,2/15/1978,10.1540735
Afghanistan,3/15/1978,14.4917293
Afghanistan,4/15/1978,24.038397
Afghanistan,5/15/1978,29.157352
Afghanistan,6/15/1978,33.549149
Afghanistan,7/15/1978,34.740354999999994
Afghanistan,8/15/1978,33.144575
Afghanistan,9/15/1978,29.323248
Afghanistan,10/15/1978,23.0816145
Afghanistan,11/15/1978,14.215521299999999
Afghanistan,12/15/1978,13.4935296
Afghanistan,1/15/1979,9.1802464
Afghanistan,2/15/1979,10.95480597
Afghanistan,3/15/1979,13.551646
Afghanistan,4/15/1979,24.318384000000002
Afghanistan,5/15/1979,25.027926
Afghanistan,6/15/1979,32.393042
Afghanistan,7/15/1979,35.378048
Afghanistan,8/15/1979,32.291923999999995
Afghanistan,9/15/1979,28.598045000000003
Afghanistan,10/15/1979,24.740829
Afghanistan,11/15/1979,14.3314266
Afghanistan,12/15/1979,11.0389211
Afghanistan,1/15/1980,7.3029575
Afghanistan,2/15/1980,9.967276465
Afghanistan,3/15/1980,15.3772597
Afghanistan,4/15/1980,24.853355999999998
Afghanistan,5/15/1980,29.18197
Afghanistan,6/15/1980,33.260973
Afghanistan,7/15/1980,35.098451999999995
Afghanistan,8/15/1980,33.246536
Afghanistan,9/15/1980,28.423832
Afghanistan,10/15/1980,23.330267999999997
Afghanistan,11/15/1980,17.4017296
Afghanistan,12/15/1980,12.198486299999999
Afghanistan,1/15/1981,8.7852361
Afghanistan,2/15/1981,11.1866587
Afghanistan,3/15/1981,16.997796
Afghanistan,4/15/1981,23.636552
Afghanistan,5/15/1981,28.859571
Afghanistan,6/15/1981,31.79766
Afghanistan,7/15/1981,34.664957
Afghanistan,8/15/1981,32.783457
Afghanistan,9/15/1981,28.45801
Afghanistan,10/15/1981,20.941919
Afghanistan,11/15/1981,16.443269700000002
Afghanistan,12/15/1981,11.8751421
Afghanistan,1/15/1982,8.3078691
Afghanistan,2/15/1982,7.993078199999999
Afghanistan,3/15/1982,13.441786
Afghanistan,4/15/1982,22.369166999999997
Afghanistan,5/15/1982,27.525370000000002
Afghanistan,6/15/1982,32.179522
Afghanistan,7/15/1982,33.974287000000004
Afghanistan,8/15/1982,32.91763
Afghanistan,9/15/1982,27.145699
Afghanistan,10/15/1982,22.651063999999998
Afghanistan,11/15/1982,13.4597313
Afghanistan,12/15/1982,7.7775812
Afghanistan,1/15/1983,7.7905943
Afghanistan,2/15/1983,10.17838232
Afghanistan,3/15/1983,12.9367728
Afghanistan,4/15/1983,20.316578
Afghanistan,5/15/1983,28.547272
Afghanistan,6/15/1983,32.674852
Afghanistan,7/15/1983,35.3491
Afghanistan,8/15/1983,34.4474
Afghanistan,9/15/1983,29.846489000000002
Afghanistan,10/15/1983,21.712331
Afghanistan,11/15/1983,17.502982
Afghanistan,12/15/1983,9.68698874
Afghanistan,1/15/1984,6.7264526
Afghanistan,2/15/1984,5.4312344
Afghanistan,3/15/1984,18.025868
Afghanistan,4/15/1984,23.393383999999998
Afghanistan,5/15/1984,28.94895
Afghanistan,6/15/1984,33.220135
Afghanistan,7/15/1984,35.191307
Afghanistan,8/15/1984,35.301626
Afghanistan,9/15/1984,27.914742
Afghanistan,10/15/1984,20.725830000000002
Afghanistan,11/15/1984,17.289156
Afghanistan,12/15/1984,7.554346300000001
Afghanistan,1/15/1985,8.070097
Afghanistan,2/15/1985,12.5572882
Afghanistan,3/15/1985,16.3563924
Afghanistan,4/15/1985,23.512953
Afghanistan,5/15/1985,28.135502
Afghanistan,6/15/1985,33.048086
Afghanistan,7/15/1985,35.597284
Afghanistan,8/15/1985,32.471333
Afghanistan,9/15/1985,28.654467
Afghanistan,10/15/1985,21.859766999999998
Afghanistan,11/15/1985,16.344933
Afghanistan,12/15/1985,10.16810997
Afghanistan,1/15/1986,7.8196476
Afghanistan,2/15/1986,9.60143313
Afghanistan,3/15/1986,12.8169365
Afghanistan,4/15/1986,21.603477499999997
Afghanistan,5/15/1986,28.242294
Afghanistan,6/15/1986,32.719212
Afghanistan,7/15/1986,34.122935999999996
Afghanistan,8/15/1986,32.140875
Afghanistan,9/15/1986,28.135818
Afghanistan,10/15/1986,23.553601
Afghanistan,11/15/1986,15.927712
Afghanistan,12/15/1986,8.9715236
Afghanistan,1/15/1987,10.3068274
Afghanistan,2/15/1987,12.4729912
Afghanistan,3/15/1987,18.19959
Afghanistan,4/15/1987,22.612088
Afghanistan,5/15/1987,27.937117
Afghanistan,6/15/1987,31.375948
Afghanistan,7/15/1987,33.401676
Afghanistan,8/15/1987,34.07989
Afghanistan,9/15/1987,29.610397
Afghanistan,10/15/1987,20.692422999999998
Afghanistan,11/15/1987,17.2887144
Afghanistan,12/15/1987,13.574032800000001
Afghanistan,1/15/1988,9.58000556
Afghanistan,2/15/1988,10.9474699
Afghanistan,3/15/1988,15.6308866
Afghanistan,4/15/1988,23.700201
Afghanistan,5/15/1988,29.583998
Afghanistan,6/15/1988,33.88808
Afghanistan,7/15/1988,36.097261
Afghanistan,8/15/1988,32.959104999999994
Afghanistan,9/15/1988,29.157375
Afghanistan,10/15/1988,22.055645
Afghanistan,11/15/1988,18.24214
Afghanistan,12/15/1988,13.1336186
Afghanistan,1/15/1989,5.6910734000000005
Afghanistan,2/15/1989,6.8864035999999995
Afghanistan,3/15/1989,15.1055207
Afghanistan,4/15/1989,20.087766000000002
Afghanistan,5/15/1989,25.216636
Afghanistan,6/15/1989,32.109043
Afghanistan,7/15/1989,33.82067
Afghanistan,8/15/1989,32.32403
Afghanistan,9/15/1989,28.399992
Afghanistan,10/15/1989,23.092201
Afghanistan,11/15/1989,16.096733
Afghanistan,12/15/1989,11.8535668
Afghanistan,1/15/1990,8.9922374
Afghanistan,2/15/1990,9.77550928
Afghanistan,3/15/1990,14.4195814
Afghanistan,4/15/1990,21.721179
Afghanistan,5/15/1990,29.790695
Afghanistan,6/15/1990,33.059093000000004
Afghanistan,7/15/1990,34.639753
Afghanistan,8/15/1990,34.275797
Afghanistan,9/15/1990,30.023325
Afghanistan,10/15/1990,22.56198
Afghanistan,11/15/1990,17.436079
Afghanistan,12/15/1990,9.979466312
Afghanistan,1/15/1991,7.4724018999999995
Afghanistan,2/15/1991,8.6392846
Afghanistan,3/15/1991,14.557376999999999
Afghanistan,4/15/1991,20.753773
Afghanistan,5/15/1991,26.644776999999998
Afghanistan,6/15/1991,31.866885999999997
Afghanistan,7/15/1991,34.086351
Afghanistan,8/15/1991,33.100344
Afghanistan,9/15/1991,28.46931
Afghanistan,10/15/1991,21.0646515
Afghanistan,11/15/1991,15.8372803
Afghanistan,12/15/1991,12.0563912
Afghanistan,1/15/1992,8.5937549
Afghanistan,2/15/1992,9.4613482
Afghanistan,3/15/1992,12.7173355
Afghanistan,4/15/1992,19.989355
Afghanistan,5/15/1992,24.8467245
Afghanistan,6/15/1992,31.935195999999998
Afghanistan,7/15/1992,33.950039000000004
Afghanistan,8/15/1992,32.04262
Afghanistan,9/15/1992,27.350847
Afghanistan,10/15/1992,21.718885999999998
Afghanistan,11/15/1992,17.3419223
Afghanistan,12/15/1992,11.8976519
Afghanistan,1/15/1993,5.7230024
Afghanistan,2/15/1993,12.0936441
Afghanistan,3/15/1993,13.3898542
Afghanistan,4/15/1993,21.949033
Afghanistan,5/15/1993,28.243979
Afghanistan,6/15/1993,32.437962
Afghanistan,7/15/1993,33.829556
Afghanistan,8/15/1993,32.07437
Afghanistan,9/15/1993,29.321085
Afghanistan,10/15/1993,20.443401
Afghanistan,11/15/1993,16.7481327
Afghanistan,12/15/1993,11.8736115
Afghanistan,1/15/1994,9.1045548
Afghanistan,2/15/1994,8.585499
Afghanistan,3/15/1994,16.768949499999998
Afghanistan,4/15/1994,20.243827
Afghanistan,5/15/1994,28.227585
Afghanistan,6/15/1994,33.301052
Afghanistan,7/15/1994,34.934864000000005
Afghanistan,8/15/1994,34.701014
